sno,parent,testobject,objType,how,what,comments
0,NA,NA,NA,NA,NA,this will be used in Steps which dont need a reference on Object Repository
2,OnBoadringActivity,Next,Button,id,com.mckinsey.mckinseyinsights:id/onBoardingNextButton,
2,OnBoadringActivity,Later,Button,id,com.mckinsey.mckinseyinsights:id/regLaterButton,
3,OnBoadringActivity,FirstName,textfield,id,com.mckinsey.mckinseyinsights:id/accountFirstNameEditText,
4,OnBoadringActivity,LastName,textfield,id,com.mckinsey.mckinseyinsights:id/accountLastNameEditText,
5,OnBoadringActivity,Email,textfield,id,com.mckinsey.mckinseyinsights:id/accountEmailEditText,
6,OnBoadringActivity,password,textfield,id,com.mckinsey.mckinseyinsights:id/accountPasswordEditText,
7,OnBoadringActivity,SignupButton,Button,id,com.mckinsey.mckinseyinsights:id/accountCompleteButton,
8,McKinseyWebHome,Logo,text,xpath,"//*[@class=""main-nav-inner""]/a",
9,McKinseyWebHome,MenuItem,Button,xpath,"//*[@class=""main-nav""]/ul",
10,McKinseyWebHome,SearchBox,Button,xpath,"//*[@class=""main-nav""]/ul[2]",
11,McKinseyWebHome,BackgroundImage,Image,xpath,"//div[@class=""bg-image""]",
12,McKinseyWebHome,FeaturedHEader,text,id,latest-thinking-title,
