testcase_id,Step,parent,testobject,stepaction,data,TestGroups,options
VerifyMcKinseyHomePage,Given I Open the browser to go to default application,NA,NA,openbrowser,,sanity,
,"verify if  ""BAckgroundImage"" is displayed or not",McKinseyWebHome,BackgroundImage,verifyObjectPresent,,,
,Cutting the required image from the webpage screenshot,McKinseyWebHome,BackgroundImage,cutRequiredImage,BackGroundImage,,
,Comparing the images on the page,NA,NA,compareImages,BackGroundImage,,
VerifyMcKinseyHomePage1,Given I Open the browser to go to default application,NA,NA,openbrowser,,sanity1,
,"verify if  ""FeaturedHEader"" is displayed or not",McKinseyWebHome,FeaturedHEader,verifyObjectPresent,,,
,"verify if  ""Logo"" is displayed or not",McKinseyWebHome,Logo,verifyObjectPresent,,,
,"verify if  ""MenuItem"" is displayed or not",McKinseyWebHome,MenuItem,verifyObjectPresent,,,
,"verify if  ""SearchBox"" is displayed or not",McKinseyWebHome,SearchBox,verifyObjectPresent,,,
,"verify if  ""BAckgroundImage"" is displayed or not",McKinseyWebHome,BackgroundImage,verifyObjectPresent,,,
,Cutting the required image from the webpage screenshot,McKinseyWebHome,BackgroundImage,cutRequiredImage,BackGroundImage,,
,Comparing the images on the page,NA,NA,compareImages,BackGroundImage,,
VerifyOutFit12A250,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit12A/250,"Outfits, Base_Outfit",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit12A250,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit12A250,,
VerifyOutFit11A250,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit11A/250,"Outfits, Base_Outfit",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit11A250,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit11A250,,
VerifyOutFit10A250,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit10A/250,"Outfits, Base_Outfit",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit10A250,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit10A250,,
VerifyOutFit05A250,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit05A/250,"Outfits, Base_Outfit",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit05A250,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit05A250,,
VerifyOutFit03A250,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit03A/250,"Outfits, Base_Outfit",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit03A250,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit03A250,,
VerifyOutFit02A250,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit02A/250,"Outfits, Base_Outfit",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv,verifyObjectSize,300x250,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit02A250,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit02A250,,
VerifyOutFit13A600,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit13A/600,"Outfits, Base_Outfit",
,Closing Sign In pop-up on the webpage,OutFitPage,signInPopUp,signInPopUp,,,
,Closing breaking news pop-up on the webpage,OutFitPage,brkNwsPopUp,brkNwsPopUp,,,
,And I verify whether the OutFit section is displayed or not,OutFitPage,OutfitSection,verifyObjectPresent,,,
,And I verify whether the Ad corresponding to OutFit image is displayed or not,OutFitPage,Common_adv1,verifyObjectPresent,,,
,And I verify whether the AdIframe corresponding to OutFit image is displayed or not,OutFitPage,Common_adv1_iFrame,verifyObjectPresent,,,
,Verify the size of the Ad image,OutFitPage,Common_adv1,verifyObjectSize,300x600,,
,Cutting the required image from the webpage screenshot,OutFitPage,OutfitSection,cutRequiredImage,OutFit13A600,,
,Comparing the images on the page,OutFitPage,eleCommon,compareImages,OutFit13A600,,
VerifyOutFit12A600,Given I Open the browser to go to default application,OutFitPage,eleCommon,openbrowser,/qa/automation/outfit12A/600,"Outfits, Base_Outfit",
